		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2
P62136-O60927	Q99622-P62136	no	0	no	0	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.329	75.41847347877973	P62136	Q99622	O60927
Q9UNP9-Q9HCS7	O95926-Q9HCS7	no	0	yes	20	['huMAP3_09504.1', 'huMAP3_06429.1', 'huMAP3_06726.1', 'huMAP3_09945.1', 'huMAP3_08703.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.243	82.70757348375324	Q9HCS7	Q9UNP9	O95926
P56192-Q13155	Q13155-Q12904	no	0	yes	43	['huMAP3_13688.1', 'huMAP3_02637.1']	0.232	76.57709203947041	Q13155	P56192	Q12904
Q9UHD8-Q92599	Q92599-Q9NVA2	yes	20	yes	90	['huMAP3_02362.1']	0.67	76.9071869710688	Q92599	Q9UHD8	Q9NVA2
Q9Y3C0-Q641Q2	Q9Y4E1-Q9Y3C0	yes	19	yes	510	['huMAP3_12900.1', 'huMAP3_10870.1']	0.429	83.41312149477628	Q9Y3C0	Q641Q2	Q9Y4E1
Q15437-O94855	Q15436-O94855	yes	21	yes	758	['huMAP3_00065.1', 'huMAP3_07775.1', 'huMAP3_11128.1', 'huMAP3_13535.1', 'huMAP3_09282.1', 'huMAP3_00707.1', 'huMAP3_06453.1', 'huMAP3_12394.1', 'huMAP3_11237.1']	0.487	76.2093941749515	O94855	Q15437	Q15436
P61163-Q9UJW0	O00399-Q9UJW0	no	0	no	0	['huMAP3_09952.1', 'huMAP3_12900.1', 'huMAP3_04946.1']	0.304	83.06190066796573	Q9UJW0	P61163	O00399
P62312-O15116	P62312-Q9Y333	yes	15	yes	83	['huMAP3_02465.1', 'huMAP3_08980.1', 'huMAP3_09187.1', 'huMAP3_15168.1']	0.48	87.5051689225498	P62312	Q9Y333	O15116
P61966-O43747	O43747-P56377	yes	55	yes	155	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_06769.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.728	91.14071091134018	O43747	P56377	P61966
P31150-P61106	P31150-P20338	yes	12	yes	198	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.388	74.69707831055149	P31150	P20338	P61106
Q96B26-Q06265	Q06265-Q9NQT4	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.618	82.65094499043012	Q06265	Q96B26	Q9NQT4
Q8TAQ2-Q92925	Q8TAQ2-Q6STE5	yes	33	yes	353	['huMAP3_03221.1', 'huMAP3_11470.1']	0.511	76.72492871182814	Q8TAQ2	Q92925	Q6STE5
Q9NRF9-Q9NRG0	Q9NRF9-Q9NR33	yes	47	yes	86	['huMAP3_04178.1', 'huMAP3_06746.1']	0.687	93.35477546860577	Q9NRF9	Q9NRG0	Q9NR33
P11908-O60256	P60891-P11908	yes	41	yes	343	['huMAP3_13128.1', 'huMAP3_10201.1', 'huMAP3_14146.1', 'huMAP3_11883.1', 'huMAP3_10941.1', 'huMAP3_12561.1']	0.701	89.70367531856076	P11908	O60256	P60891
Q7L5N1-Q9BT78	Q9BT78-P61201	no	0	yes	13	['huMAP3_08550.1', 'huMAP3_09779.1', 'huMAP3_05041.1', 'huMAP3_14528.1']	0.291	80.93194082352902	Q9BT78	P61201	Q7L5N1
Q8IY57-Q9BSM1	Q8IY57-Q99496	yes	10	yes	148	['huMAP3_09756.1', 'huMAP3_14051.1', 'huMAP3_10162.1']	0.293	77.60788542772879	Q8IY57	Q9BSM1	Q99496
P08237-Q01813	P17858-P08237	yes	53	yes	773	['huMAP3_14709.1', 'huMAP3_04277.1']	0.73	87.19993746013543	P08237	Q01813	P17858
P19447-Q6P1K8	P19447-Q13888	yes	21	yes	219	['huMAP3_12429.1', 'huMAP3_09908.1', 'huMAP3_05174.1']	0.428	72.69046212788832	P19447	Q13888	Q6P1K8
P61758-O15212	Q9NQP4-P61758	no	0	no	0	['huMAP3_14626.1', 'huMAP3_14584.1', 'huMAP3_10942.1']	0.41	90.06711158979354	P61758	O15212	Q9NQP4
P17980-P62195	Q99460-P62195	no	0	no	0	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.239	72.32275394599448	P62195	Q99460	P17980
P22694-P13861	P22694-P31323	yes	42	yes	341	['huMAP3_07046.1', 'huMAP3_14681.1', 'huMAP3_11135.1', 'huMAP3_13352.1']	0.681	79.45304102513659	P22694	P13861	P31323
Q9Y399-P82933	P82673-P82933	no	0	no	0	['huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.555	86.18963653509174	P82933	P82673	Q9Y399
Q16576-Q13330	Q9NP50-Q16576	yes	18	yes	51	['huMAP3_15128.1']	0.231	78.3301371252665	Q16576	Q13330	Q9NP50
P53618-Q9Y678	P53618-P48444	no	0	no	0	['huMAP3_09332.1', 'huMAP3_11357.1', 'huMAP3_04405.1', 'huMAP3_12869.1']	0.716	82.7973639743275	P53618	Q9Y678	P48444
Q07866-Q9H0B6	Q07866-Q9NSK0	yes	35	yes	423	['huMAP3_10340.1', 'huMAP3_09851.1', 'huMAP3_14331.1', 'huMAP3_04401.1', 'huMAP3_11266.1', 'huMAP3_14054.1', 'huMAP3_12367.1']	0.452	77.69909263156535	Q07866	Q9H0B6	Q9NSK0
O15482-Q9ULS5	O15482-O94876	yes	27	yes	226	['huMAP3_03087.1']	0.506	72.15355803485508	O15482	Q9ULS5	O94876
Q6IQ22-P31150	P31150-P61020	yes	24	yes	199	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.526	74.33777882538585	P31150	P61020	Q6IQ22
P68371-Q9BQE3	Q9BUF5-Q9BQE3	yes	26	yes	436	['huMAP3_09233.1', 'huMAP3_14709.1', 'huMAP3_10475.1', 'huMAP3_10665.1']	0.671	86.06296048780001	Q9BQE3	Q9BUF5	P68371
Q9Y399-Q9Y3D9	Q9Y399-P82664	no	0	yes	6	['huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.253	80.61567432600006	Q9Y399	Q9Y3D9	P82664
Q9Y366-Q86WT1	Q9NQC8-Q86WT1	yes	65	yes	41	['huMAP3_13817.1', 'huMAP3_05411.1']	0.695	73.5943434979475	Q86WT1	Q9NQC8	Q9Y366
Q16539-Q16644	Q16539-Q9BUB5	yes	20	yes	219	['huMAP3_14776.1', 'huMAP3_07936.1', 'huMAP3_05402.1', 'huMAP3_06585.1', 'huMAP3_10997.1']	0.342	71.08789937233286	Q16539	Q9BUB5	Q16644
O60671-Q99638	O60921-Q99638	no	0	yes	1	['huMAP3_09595.1', 'huMAP3_01683.1', 'huMAP3_12787.1', 'huMAP3_01448.1']	0.455	79.32937056618847	Q99638	O60671	O60921
P33992-Q14566	P33992-Q9BTE3	no	0	no	0	['huMAP3_12180.1', 'huMAP3_14758.1', 'huMAP3_11832.1', 'huMAP3_08554.1', 'huMAP3_11119.1', 'huMAP3_05529.1']	0.254	70.05219372420852	P33992	Q14566	Q9BTE3
P60510-Q9NY27	P60510-Q6IN85	no	0	yes	86	['huMAP3_11192.1', 'huMAP3_13486.1']	0.603	74.34469257311686	P60510	Q9NY27	Q6IN85
P31150-P61006	P31150-P20338	yes	11	yes	186	['huMAP3_11094.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.414	72.82127593925874	P31150	P20338	P61006
Q9HCS7-Q99459	O95926-Q9HCS7	no	0	yes	14	['huMAP3_09504.1', 'huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.283	75.00940126010572	Q9HCS7	O95926	Q99459
P62136-Q12972	P62136-Q6NYC8	yes	28	yes	144	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_06304.1']	0.462	71.9601633772259	P62136	Q12972	Q6NYC8
O94776-Q16576	Q16576-O14929	yes	30	yes	246	['huMAP3_15128.1']	0.589	77.6860242517132	Q16576	O14929	O94776
Q9NP92-Q16540	Q9NP92-Q9BZE1	no	0	no	0	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_03763.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.407	86.6384368365392	Q9NP92	Q16540	Q9BZE1
P62136-Q9UQ13	P62136-Q96QC0	yes	14	yes	369	['huMAP3_14504.1']	0.569	80.63877654667512	P62136	Q9UQ13	Q96QC0
Q15438-O60759	O43739-O60759	yes	20	yes	349	['huMAP3_14717.1', 'huMAP3_13456.1', 'huMAP3_03599.1', 'huMAP3_04004.1', 'huMAP3_13655.1']	0.31	70.98391392645163	O60759	Q15438	O43739
Q99418-O60759	O43739-O60759	yes	25	yes	341	['huMAP3_14717.1', 'huMAP3_13456.1', 'huMAP3_03599.1', 'huMAP3_04004.1', 'huMAP3_13655.1']	0.297	70.98391392645163	O60759	Q99418	O43739
P56192-Q13155	Q15046-Q13155	no	0	yes	89	['huMAP3_13688.1', 'huMAP3_02637.1']	0.494	76.57709203947041	Q13155	P56192	Q15046
O94874-Q96HY6	Q96HY6-Q96JB5	no	0	yes	13	['huMAP3_14075.1', 'huMAP3_12534.1', 'huMAP3_03937.1']	0.431	79.65734356202833	Q96HY6	Q96JB5	O94874
P35998-P62195	Q99460-P62195	no	0	yes	9	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.239	72.66120236816174	P62195	Q99460	P35998
Q6PJW8-P36873	P36873-O60927	yes	23	yes	73	['huMAP3_02357.1', 'huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.434	73.03739938208689	P36873	Q6PJW8	O60927
P49755-Q13445	P49755-Q9Y3A6	yes	29	yes	210	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.661	83.14701803584961	P49755	Q13445	Q9Y3A6
Q16576-O94776	Q9NP50-Q16576	yes	19	yes	52	['huMAP3_15128.1']	0.231	77.36345386090959	Q16576	O94776	Q9NP50
Q9Y2R9-P82933	P82673-P82933	no	0	no	0	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.495	85.23824682697148	P82933	Q9Y2R9	P82673
Q8WUF5-P62136	O75864-P62136	yes	15	yes	290	['huMAP3_10148.1', 'huMAP3_14504.1']	0.266	71.29807094446122	P62136	Q8WUF5	O75864
Q96QK1-O75436	Q9UBQ0-Q96QK1	no	0	no	0	['huMAP3_13244.1', 'huMAP3_01277.1']	0.61	91.19313738103888	Q96QK1	O75436	Q9UBQ0
Q92665-O60783	Q92665-P82673	no	0	no	0	['huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_05807.1', 'huMAP3_10538.1']	0.383	74.57145115126211	Q92665	P82673	O60783
Q06587-Q9BYE7	Q06587-Q99496	yes	12	yes	114	['huMAP3_09756.1', 'huMAP3_14051.1', 'huMAP3_10162.1', 'huMAP3_08622.1']	0.548	70.92094092150496	Q06587	Q99496	Q9BYE7
Q9BWW4-Q86U70	P81877-Q86U70	yes	25	yes	184	['huMAP3_02691.1', 'huMAP3_09723.1', 'huMAP3_13541.1']	0.412	76.01459200583434	Q86U70	Q9BWW4	P81877
P49755-Q9Y3Q3	P49755-Q9Y3A6	yes	25	yes	190	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.67	83.22544895365638	P49755	Q9Y3Q3	Q9Y3A6
P78364-P35227	P35226-P78364	no	0	yes	89	['huMAP3_10162.1', 'huMAP3_07122.1', 'huMAP3_14051.1', 'huMAP3_09551.1', 'huMAP3_07970.1']	0.423	73.03677789554622	P78364	P35226	P35227
P46527-P20248	P20248-P06493	no	0	no	0	['huMAP3_14722.1', 'huMAP3_06587.1', 'huMAP3_10449.1']	0.303	74.94753895504776	P20248	P06493	P46527
O60244-Q9NVC6	O60244-O43513	no	0	no	0	['huMAP3_02730.1']	0.375	73.18545986560476	O60244	Q9NVC6	O43513
Q86TG7-Q17RB0	A6ZKI3-Q86TG7	yes	13	yes	46	['huMAP3_02746.1']	0.275	81.355166227489	Q86TG7	Q17RB0	A6ZKI3
Q9BTC8-Q16576	Q9P2Y4-Q16576	yes	24	yes	249	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.465	73.31302856965209	Q16576	Q9BTC8	Q9P2Y4
P06730-Q13541	P06730-Q9NRA8	yes	24	yes	61	['huMAP3_13436.1', 'huMAP3_10733.1', 'huMAP3_13122.1', 'huMAP3_12383.1', 'huMAP3_12323.1', 'huMAP3_09957.1']	0.599	87.71225120399495	P06730	Q9NRA8	Q13541
P14868-P07814	P07814-O43324	no	0	yes	1	['huMAP3_13688.1', 'huMAP3_02637.1']	0.341	80.95948544787834	P07814	P14868	O43324
Q9NQC1-Q9HAF1	Q9NQC1-Q8WYH8	yes	10	yes	68	['huMAP3_03602.1', 'huMAP3_08842.1']	0.262	78.47704345509268	Q9NQC1	Q9HAF1	Q8WYH8
Q16718-O75489	Q16795-O75489	no	0	no	0	['huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.266	79.72077040220023	O75489	Q16795	Q16718
P49418-O00499	O00499-Q9UBW5	yes	38	yes	295	['huMAP3_04492.1']	0.619	83.56909666227165	O00499	P49418	Q9UBW5
O60826-Q567U6	Q86X83-Q567U6	no	0	yes	25	['huMAP3_14444.1', 'huMAP3_01290.1', 'huMAP3_07032.1']	0.415	78.61834498194995	Q567U6	Q86X83	O60826
P28331-P49821	O43678-P28331	no	0	no	0	['huMAP3_02819.1', 'huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.67	90.8449446179224	P28331	P49821	O43678
O95926-Q9BZJ0	O95926-Q9HCS7	no	0	yes	22	['huMAP3_09504.1', 'huMAP3_06429.1', 'huMAP3_06726.1', 'huMAP3_09945.1', 'huMAP3_08703.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.557	82.69399761454659	O95926	Q9BZJ0	Q9HCS7
Q9P086-Q9NVC6	O60244-Q9NVC6	no	0	yes	13	['huMAP3_02730.1']	0.559	73.18545986560476	Q9NVC6	Q9P086	O60244
P62068-Q8TBZ3	Q8TAF3-P62068	no	0	yes	21	['huMAP3_14529.1', 'huMAP3_01746.1', 'huMAP3_08735.1', 'huMAP3_12501.1', 'huMAP3_10857.1', 'huMAP3_09689.1', 'huMAP3_09502.1', 'huMAP3_10588.1']	0.535	77.84926996484322	P62068	Q8TAF3	Q8TBZ3
O14867-O60675	O15525-O14867	yes	27	yes	141	['huMAP3_09866.1', 'huMAP3_13906.1']	0.476	82.26302711551715	O14867	O15525	O60675
Q9BW27-Q8NFH3	Q12769-Q9BW27	no	0	yes	14	['huMAP3_09825.1', 'huMAP3_12581.1', 'huMAP3_11797.1', 'huMAP3_08489.1']	0.473	79.13104192666059	Q9BW27	Q12769	Q8NFH3
Q9Y2V7-Q96MW5	Q9UP83-Q9Y2V7	no	0	yes	79	['huMAP3_04294.1', 'huMAP3_14423.1', 'huMAP3_09176.1', 'huMAP3_11797.1']	0.472	76.9648036140925	Q9Y2V7	Q96MW5	Q9UP83
Q6PJW8-P36873	P36873-Q15435	yes	19	yes	146	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1']	0.434	73.03739938208689	P36873	Q15435	Q6PJW8
Q14681-Q8N5Z5	Q9NXV2-Q8N5Z5	yes	13	yes	192	['huMAP3_10969.1', 'huMAP3_14179.1', 'huMAP3_10884.1', 'huMAP3_12540.1']	0.452	84.9610849903365	Q8N5Z5	Q9NXV2	Q14681
O15511-P61160	P61158-P61160	no	0	yes	3	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.312	80.0278587036909	P61160	O15511	P61158
P48059-Q15404	P48059-Q9HBI0	no	0	yes	10	['huMAP3_04827.1', 'huMAP3_06647.1', 'huMAP3_09385.1', 'huMAP3_11194.1']	0.483	77.27560023574279	P48059	Q9HBI0	Q15404
Q9UNS2-Q7L5N1	Q7L5N1-Q92905	no	0	yes	2	['huMAP3_05041.1', 'huMAP3_09779.1', 'huMAP3_14528.1', 'huMAP3_08550.1']	0.254	81.47883621762827	Q7L5N1	Q9UNS2	Q92905
Q9Y6Q5-O75843	Q9Y6Q5-P63010	yes	20	yes	536	['huMAP3_12376.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.51	74.03539479205467	Q9Y6Q5	O75843	P63010
O60566-O43684	O43670-O43684	yes	27	yes	261	['huMAP3_12747.1']	0.586	86.20122184760253	O43684	O60566	O43670
O14770-P40426	O14770-P40424	yes	37	yes	185	['huMAP3_11161.1', 'huMAP3_10672.1']	0.647	80.95052415326134	O14770	P40426	P40424
Q13033-O43815	Q9NRL3-O43815	yes	17	yes	391	['huMAP3_13510.1', 'huMAP3_07644.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.453	70.50963465560766	O43815	Q13033	Q9NRL3
P06730-Q13541	P06730-Q9UNK9	yes	26	yes	77	['huMAP3_13436.1', 'huMAP3_13122.1', 'huMAP3_08691.1', 'huMAP3_12323.1', 'huMAP3_12383.1']	0.593	83.6560377771006	P06730	Q13541	Q9UNK9
Q92665-P82673	P51398-P82673	no	0	no	0	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.383	74.57145115126211	P82673	P51398	Q92665
O43660-Q99459	O75934-Q99459	no	0	yes	5	['huMAP3_09504.1', 'huMAP3_08382.1', 'huMAP3_09945.1', 'huMAP3_15168.1', 'huMAP3_09187.1']	0.327	74.43578018825528	Q99459	O43660	O75934
P28161-P46439	Q03013-P46439	yes	26	yes	218	['huMAP3_01673.1', 'huMAP3_14934.1']	0.717	97.15851530431496	P46439	P28161	Q03013
P82673-P51398	P82673-Q96EL2	no	0	yes	4	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.55	81.82591269903331	P82673	P51398	Q96EL2
Q96E09-P30153	P67775-P30153	no	0	yes	57	['huMAP3_13510.1', 'huMAP3_07998.1', 'huMAP3_06695.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.414	71.55225364079662	P30153	Q96E09	P67775
P31150-P51149	P31150-Q15286	yes	13	yes	185	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.387	73.58835435256536	P31150	P51149	Q15286
O75489-O75251	O95182-O75489	no	0	yes	5	['huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_08132.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.319	77.01362938257544	O75489	O95182	O75251
Q9NPF4-Q14657	Q9NPF4-Q96S44	no	0	yes	12	['huMAP3_11762.1', 'huMAP3_00664.1']	0.658	87.76113814792873	Q9NPF4	Q96S44	Q14657
Q9UBW8-Q9BT78	Q9BT78-P61201	no	0	yes	13	['huMAP3_05041.1', 'huMAP3_09779.1', 'huMAP3_14528.1', 'huMAP3_08550.1']	0.291	86.04352049854265	Q9BT78	P61201	Q9UBW8
Q9UPT5-Q8TAG9	Q9UPT5-Q8IYI6	no	0	no	0	['huMAP3_09839.1', 'huMAP3_12587.1', 'huMAP3_04054.1', 'huMAP3_07009.1']	0.353	75.66027506547641	Q9UPT5	Q8TAG9	Q8IYI6
Q16539-Q9BUB5	Q16539-O75676	yes	29	yes	374	['huMAP3_14776.1']	0.342	71.08789937233286	Q16539	Q9BUB5	O75676
P31150-P51149	P31150-P61020	yes	22	yes	202	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.547	73.58835435256536	P31150	P51149	P61020
Q13509-Q9BQE3	Q9BQE3-P07437	yes	28	yes	442	['huMAP3_10665.1', 'huMAP3_09233.1', 'huMAP3_09603.1', 'huMAP3_09670.1', 'huMAP3_10475.1', 'huMAP3_14709.1', 'huMAP3_06977.1']	0.666	86.17056046943571	Q9BQE3	Q13509	P07437
Q9NP92-Q9NRX2	Q9NP92-Q16540	no	0	no	0	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.251	87.42854049238262	Q9NP92	Q9NRX2	Q16540
Q9BUI4-O14802	O15318-Q9BUI4	no	0	yes	11	['huMAP3_06426.1', 'huMAP3_00807.1', 'huMAP3_11092.1', 'huMAP3_09057.1', 'huMAP3_08487.1', 'huMAP3_14318.1']	0.405	74.17188349358086	Q9BUI4	O15318	O14802
Q92922-Q6STE5	Q92922-Q96GM5	yes	56	yes	386	['huMAP3_03221.1', 'huMAP3_11470.1']	0.679	78.79474328150908	Q92922	Q96GM5	Q6STE5
O95782-P63010	O95782-P53680	no	0	yes	5	['huMAP3_08540.1', 'huMAP3_08320.1', 'huMAP3_05120.1', 'huMAP3_09403.1', 'huMAP3_09107.1', 'huMAP3_10876.1', 'huMAP3_06283.1', 'huMAP3_10762.1', 'huMAP3_12394.1', 'huMAP3_05849.1', 'huMAP3_12918.1']	0.475	74.31206938835614	O95782	P53680	P63010
Q13573-O95926	Q96DF8-Q13573	no	0	no	0	['huMAP3_09504.1', 'huMAP3_06429.1', 'huMAP3_09945.1', 'huMAP3_08703.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.276	79.87284561861362	Q13573	O95926	Q96DF8
Q86TJ2-Q96BN2	O94864-Q96BN2	no	0	no	0	['huMAP3_00902.1', 'huMAP3_09451.1', 'huMAP3_10385.1', 'huMAP3_08438.1', 'huMAP3_12550.1', 'huMAP3_10397.1']	0.436	82.71029989722463	Q96BN2	Q86TJ2	O94864
Q4G0F5-Q96QK1	Q96QK1-O75436	yes	18	yes	303	['huMAP3_13244.1', 'huMAP3_01277.1']	0.61	91.19313738103888	Q96QK1	Q4G0F5	O75436
P62136-Q9UQ13	P62136-Q13625	yes	14	yes	223	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_06304.1']	0.363	71.70402591004523	P62136	Q13625	Q9UQ13
P30154-Q66LE6	P67775-P30154	no	0	yes	4	['huMAP3_13510.1', 'huMAP3_10333.1']	0.337	84.35352019156204	P30154	Q66LE6	P67775
P22694-P31321	P22694-P24588	yes	18	yes	165	['huMAP3_07046.1', 'huMAP3_14681.1', 'huMAP3_11135.1', 'huMAP3_13352.1']	0.458	74.00714518588258	P22694	P24588	P31321
P62136-Q9H788	Q8WUF5-P62136	yes	17	yes	216	['huMAP3_10148.1', 'huMAP3_06341.1', 'huMAP3_14504.1']	0.596	74.54558206419132	P62136	Q9H788	Q8WUF5
P61026-P31150	Q13636-P31150	yes	22	yes	190	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_11860.1', 'huMAP3_06607.1', 'huMAP3_09217.1']	0.495	74.76007825020658	P31150	P61026	Q13636
P54652-Q9NZL4	P11142-P54652	yes	11	yes	202	['huMAP3_05866.1', 'huMAP3_14723.1', 'huMAP3_07919.1', 'huMAP3_06506.1', 'huMAP3_11049.1']	0.668	75.5928446149928	P54652	Q9NZL4	P11142
Q8N5N7-Q8N983	Q7Z2W9-Q8N983	no	0	yes	6	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.397	86.95081950799423	Q8N983	Q8N5N7	Q7Z2W9
P63027-O15400	O15400-Q5SQN1	yes	12	yes	57	['huMAP3_13160.1', 'huMAP3_08929.1', 'huMAP3_06458.1', 'huMAP3_10587.1', 'huMAP3_00053.1']	0.41	74.0051150698065	O15400	Q5SQN1	P63027
A5D8V6-Q99816	Q9UK41-Q99816	yes	10	yes	44	['huMAP3_12917.1', 'huMAP3_09572.1', 'huMAP3_13805.1']	0.667	87.75950522822875	Q99816	Q9UK41	A5D8V6
Q16555-Q9BPU6	O14531-Q9BPU6	yes	46	yes	542	['huMAP3_00051.1', 'huMAP3_11626.1', 'huMAP3_11599.1']	0.724	90.16816021357332	Q9BPU6	Q16555	O14531
P36873-Q9UQ13	Q9GZN8-P36873	yes	13	yes	77	['huMAP3_14504.1']	0.606	79.11588831325112	P36873	Q9UQ13	Q9GZN8
P32780-Q13889	P32780-Q6P1K8	no	0	yes	77	['huMAP3_12429.1', 'huMAP3_09908.1', 'huMAP3_05174.1']	0.505	76.32250613607467	P32780	Q13889	Q6P1K8
P22694-P13861	P22694-P24588	yes	21	yes	183	['huMAP3_07046.1', 'huMAP3_14681.1', 'huMAP3_11135.1', 'huMAP3_13352.1']	0.458	74.00714518588258	P22694	P13861	P24588
P42025-P61163	P61163-Q9NZ32	yes	11	yes	215	['huMAP3_09952.1', 'huMAP3_12900.1', 'huMAP3_04946.1']	0.535	80.16664944545985	P61163	P42025	Q9NZ32
Q9UJC3-Q9H8T0	Q9H8T0-Q86VS8	yes	23	yes	173	['huMAP3_11220.1', 'huMAP3_03865.1']	0.331	81.03308490495448	Q9H8T0	Q86VS8	Q9UJC3
Q52LJ0-Q9Y224	Q9Y224-Q8NCA5	yes	63	yes	232	['huMAP3_14270.1', 'huMAP3_14559.1', 'huMAP3_11111.1', 'huMAP3_10631.1', 'huMAP3_07425.1', 'huMAP3_10307.1']	0.691	80.98765076810291	Q9Y224	Q8NCA5	Q52LJ0
P61026-P31150	P31150-P61018	yes	16	yes	177	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.427	75.42474819459197	P31150	P61026	P61018
