		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2	cmmn_p_homodimer	covariation_score	pair1_pdbs	pair2_pdbs	mutual_pair_structures	pair_struct_annot
P25789-P28070	P28070-Q99436	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.331	87.03821929904309	P28070	Q99436	P25789	no	0.95	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
P25789-P49721	P25786-P25789	no	0	yes	7	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.506	92.9950874377459	P25789	P25786	P49721	yes	1.0	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	yes structural evidence
Q92769-Q9BTC8	Q9BTC8-Q16576	no	0	yes	60	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.569	77.44333129572611	Q9BTC8	Q92769	Q16576	yes	0.392	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P25963-Q01201	P25963-Q04206	yes	16	yes	143	['huMAP3_14474.1', 'huMAP3_05441.1']	0.298	72.17999390288806	P25963	Q01201	Q04206	no	0.174	{'No overlap'}	{'1NFI'}	{'No mutual structures'}	no structural evidence
P25787-P28062	P25787-P28066	no	0	yes	9	['huMAP3_00356.1', 'huMAP3_09656.1']	0.425	80.75374639854546	P25787	P28062	P28066	yes	0.276	{'7AWE', '6E5B', '7B12', '6AVO'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'7AWE', '6E5B', '7B12', '6AVO'}	yes structural evidence
P49755-Q13445	Q15363-Q13445	yes	11	yes	57	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.42	78.24318793737184	Q13445	P49755	Q15363	no	0.858	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q8TAQ2-Q96GM5	Q8TAQ2-Q92925	yes	31	yes	293	['huMAP3_03221.1', 'huMAP3_11470.1']	0.592	75.80598924728073	Q8TAQ2	Q96GM5	Q92925	no	0.424	{'7Y8R', '6LTH', '7VDV', '6LTJ'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
O15511-P61158	P61158-P61160	no	0	no	0	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.281	80.0278587036909	P61158	P61160	O15511	no	0.866	{'6YW7', '6UHC'}	{'6YW7', '8P94', '6YW6', '6UHC'}	{'6YW7', '6UHC'}	yes structural evidence
Q8WYJ6-Q99719	Q14141-Q99719	yes	44	yes	301	['huMAP3_02362.1']	0.582	73.8407217412285	Q99719	Q8WYJ6	Q14141	no	0.012	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9UHD8-Q9P0V9	Q9UHD8-Q92599	yes	31	yes	135	['huMAP3_02362.1']	0.631	76.21795159614476	Q9UHD8	Q9P0V9	Q92599	yes	0.08	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q8WYJ6-Q9NVA2	Q15019-Q9NVA2	yes	54	yes	304	['huMAP3_02362.1']	0.566	73.03558153810916	Q9NVA2	Q8WYJ6	Q15019	yes	0.128	{'No overlap'}	{'6UPQ'}	{'No mutual structures'}	no structural evidence
Q15019-Q9NVA2	Q9P0V9-Q15019	yes	53	yes	342	['huMAP3_02362.1']	0.566	73.03558153810916	Q15019	Q9P0V9	Q9NVA2	no	0.096	{'6UPQ'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P62136-Q15435	P62136-Q6NYC8	yes	19	yes	229	['huMAP3_09354.1', 'huMAP3_10148.1', 'huMAP3_09633.1', 'huMAP3_14504.1']	0.462	71.9601633772259	P62136	Q6NYC8	Q15435	no	0.03	{'6OBN', '6OBP', '8U5G'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P38606-P15313	P15313-P21281	yes	11	yes	207	['huMAP3_10511.1', 'huMAP3_08678.1', 'huMAP3_07099.1', 'huMAP3_09477.1', 'huMAP3_12042.1', 'huMAP3_05805.1', 'huMAP3_09873.1', 'huMAP3_13872.1', 'huMAP3_08381.1', 'huMAP3_10516.1', 'huMAP3_09242.1', 'huMAP3_07329.1']	0.309	83.17033608868076	P15313	P21281	P38606	no	0.832	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P20618-P25786	P25786-P49720	no	0	yes	20	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.319	89.25710346227076	P25786	P49720	P20618	yes	0.998	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	yes structural evidence
Q13547-Q96BD5	Q14687-Q13547	yes	10	yes	362	['huMAP3_09232.1', 'huMAP3_09031.1', 'huMAP3_10311.1', 'huMAP3_15128.1', 'huMAP3_01287.1', 'huMAP3_08800.1', 'huMAP3_08605.1']	0.263	70.44835825215644	Q13547	Q96BD5	Q14687	no	0.1	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q99832-P50990	Q92526-P50990	yes	11	yes	1	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.683	79.2585505316083	P50990	Q99832	Q92526	yes	0.112	{'7X0A', '8IB8', '8I9U', '7NVM', '7TRG', '7TTN', '8SFF', '8SHL', '8SGQ', '7X7Y', '8SGC', '8SHF', '8SHA', '8SHD', '8SGL', '7X6Q', '7NVN', '8SFE', '7X0V', '7TUB', '7NVO', '7WU7', '7X0S', '8SH9', '7LUP', '8SHE', '8SHN', '7WZ3', '6NRC', '7NVL', '8SG8', '6NR9', '7X3U', '7TTT', '8SHO', '7X3J', '6NRB', '8SHQ', '6NRA', '6QB8', '7LUM', '8I1U', '6NR8', '8SHP', '8SHG', '6NRD', '8SHT', '8SG9', '8HKI'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q15024-Q9NQT4	Q06265-Q9NQT4	no	0	yes	15	['huMAP3_05382.1', 'huMAP3_14264.1']	0.603	84.50206363327092	Q9NQT4	Q06265	Q15024	yes	0.982	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6H25', '6D6Q', '6D6R'}	yes structural evidence
P62136-O60927	P62136-P36873	no	0	no	0	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.238	75.41847347877973	P62136	P36873	O60927	no	0.116	{'8DWK', '8U5G', '8DWL'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P25788-P25789	P25788-P28072	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.373	92.43391222484053	P25788	P28072	P25789	yes	0.916	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
P30876-P62875	O15160-P62875	yes	18	yes	37	['huMAP3_14318.1', 'huMAP3_11092.1']	0.661	88.7407824505877	P62875	O15160	P30876	no	0.33	{'6O9L', '5IYC', '5IY6', '5IY9', '6XRE', '5IY8', '7LBM', '5IYA', '6DRD', '5IY7', '5IYB', '5IYD'}	{'7DN3', '7OBB', '7AE3', '7OB9', '7AST', '8ITY', '7D59', '7A6H', '7AE1', '8A43', '7VBB', '7DU2', '8IUH', '7FJI', '7D58', '7VBA', '7AEA', '7VBC', '7OBA', '8IUE', '7FJJ'}	{'No mutual structures'}	no structural evidence
Q99832-Q92526	Q99832-P50991	yes	27	yes	503	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.651	78.48010246758606	Q99832	P50991	Q92526	yes	0.22	{'No overlap'}	{'7X0A', '8IB8', '8I9U', '7NVM', '7TRG', '7TTN', '8SFF', '8SHL', '8SGQ', '7X7Y', '8SGC', '8SHF', '8SHA', '8SHD', '8SGL', '7X6Q', '7NVN', '8SFE', '7X0V', '7TUB', '7NVO', '7WU7', '7X0S', '8SH9', '7LUP', '8SHE', '8SHN', '7WZ3', '6NRC', '7NVL', '8SG8', '6NR9', '7X3U', '7TTT', '8SHO', '7X3J', '6NRB', '8SHQ', '6NRA', '6QB8', '7LUM', '8I1U', '6NR8', '8SHP', '8SHG', '6NRD', '8SHT', '8SG9', '8HKI'}	{'No mutual structures'}	no structural evidence
Q8WYJ6-Q99719	Q99719-Q9UH03	yes	47	yes	307	['huMAP3_02362.1']	0.517	72.13541236084829	Q99719	Q9UH03	Q8WYJ6	no	0.044	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9P015-Q8TAE8	Q9P015-Q9BYD3	no	0	yes	10	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.452	87.72481512866517	Q9P015	Q8TAE8	Q9BYD3	no	0.996	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	yes structural evidence
P25789-O14818	O14818-P28062	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1']	0.357	87.18602311048473	O14818	P28062	P25789	yes	0.236	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'7AWE', '6E5B', '7B12', '6AVO'}	{'7AWE', '6E5B', '7B12', '6AVO'}	yes structural evidence
